index,업소명,업종,총평점,id
126,미트앤번버거샵 강남점,햄버거,4.54,128.0
127,평가옥 삼성점,기타,4.17,12943462.0
128,청춘어람,횟집,4.63,1558231272.0
129,60년전통신촌황소곱창 선릉직영점,곱창,4.16,35337611.0
130,인평일등추어탕 선릉역점,한식,4.22,37197898.0
131,도스타코스 선릉점,해외음식,4.34,1905428903.0
132,이승재참치,일식,4.68,1639596346.0
133,용호동낙지 강남직영점,한식,4.21,1874679673.0
134,스시노스시,일식,4.25,
135,강정희간장새우 선릉역점,해물요리,4.51,34016419.0
136,Cakery루킹래징,디저트,4.49,33077537.0
137,사람사는 고깃집 김일도 선릉점,고기요리,4.64,1637475096.0
138,통영집,횟집,4.26,19378213.0
139,오마이보울,샐러드,4.45,1543931267.0
140,참치그라,횟집,4.68,11641511.0
141,핵밥 역삼점,한식,4.43,1080315503.0
142,플로팅,뷔페,4.63,1002390145.0
143,우밀가 선릉점,분식,4.27,
144,블루문 탭하우스,바(BAR),4.58,1014355254.0
145,지유가오카핫초메 선릉점,디저트,4.6,34615854.0
146,수림복국,기타,4.34,18460067.0
147,고메홈,한식,4.09,10994374.0
148,재패니즈다이닝안심,일식,4.59,37378986.0
149,피슈마라홍탕 선릉점,중식,4.34,1601393324.0
150,카페 난만,디저트,4.28,1177877551.0
151,연,일식,4.69,1570789614.0
152,사와레,바(BAR),4.78,1098218068.0
153,신라스테이역삼 카페,뷔페,4.42,37402198.0
154,더 피자스탠드,이탈리아음식,4.68,1911951171.0
155,볼빨간 딱새우 선릉점,일식,4.71,1577187705.0
156,카페 레꼴뜨,디저트,4.44,1927057544.0
157,메이크샐러드 선릉점,샐러드,4.67,1926302125.0
158,써브웨이 언주역점,브런치,4.36,34111003.0
159,제주돈프로,돼지고기구이,4.58,1636740915.0
160,유림,한식,4.05,1270339520.0
161,올드타운한양,디저트,4.47,1729010628.0
162,밤장어 선릉점,해물요리,4.67,1254308064.0
163,미태리 선릉포스코점,양식,4.5,1251999118.0
164,우밀가 대치본점,분식,4.27,355849071.0
165,북창동순두부 선릉2호점,한식,4.21,11764425.0
166,해우리 역삼센터필드점,한식,,1091658777.0
167,남도구들한정식,한식,4.13,1013406722.0
168,스노우폭스 선릉역점,일식,4.33,1854901876.0
169,꽃보다등심,고기요리,4.19,1938886133.0
170,이디야커피 선릉역점,카페,4.51,1608485528.0
171,메이킷 카페,디저트,4.61,1576224030.0
172,오또상스시,일식,4.5,1722167633.0
173,더드림 선릉점,한식,4.25,31806694.0
174,한와담 포스코센터점,소고기구이,4.16,1169374810.0
175,커피마마퀸 선릉점,카페,4.52,1044996278.0
176,배가무닭볶음탕 대치본점,한식,4.81,1787194642.0
177,던킨 24H 선릉역점,베이커리,4.45,11803565.0
178,스타벅스 선릉동신빌딩R점,카페,4.46,1858236569.0
179,홍운장,중식,4.27,13371770.0
180,고담식당,고기요리,4.42,1422984860.0
181,분틀,분식,4.15,1619914936.0
182,삼백플러스,뷔페,4.56,1973586065.0
183,진티엔,기타,4.1,1152517187.0
184,스타벅스 역삼아레나빌딩점,카페,4.48,1336692632.0
185,샐러디 선릉점,샐러드,4.49,12067719.0
186,기세끼 선릉점,일식,3.98,146.0
187,선릉 순대국,"국,탕",4.32,1735.0
188,Coffee Bar K,바(BAR),4.5,19882306.0
189,애니홀,이탈리아음식,4.34,37049670.0
190,이자카야나무 대치점,일식,4.38,33575261.0
191,중화주가 명정루,중식,4.63,1542291051.0
192,쇼유식당,일식,4.42,1436398475.0
193,더뭉티기,한식,4.44,1280143184.0
194,에피큐어,디저트,4.77,1232310413.0
195,반포식스 선릉역점,베트남음식,4.27,1546599098.0
196,윤가 양꼬치 훠궈 역삼점,양고기구이,4.64,379605792.0
